ID	NAME	EQUATION	GENE ASSOCIATION	subsystem_unique_@2021_12
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(R)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c]	(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W)	pyruvate metabolism ( sce00620 )
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(R)-lactate[m] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[m]	(YDL178W and YEL039C) or (YDL178W and YJR048W)	pyruvate metabolism ( sce00620 )
r_0003	"(R,R)-butanediol dehydrogenase"	"(R,R)-2,3-butanediol[c] + NAD[c] <=> (R)-acetoin[c] + H+[c] + NADH[c]"	YAL060W	butanoate metabolism ( sce00650 )
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	(S)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c]	(YEL039C and YML054C) or (YJR048W and YML054C)	pyruvate metabolism ( sce00620 )
r_0005	"1,3-beta-glucan synthase"	UDP-D-glucose[c] => (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c]	YGR032W or YMR306W or (YLR342W and YCR034W)	starch and sucrose metabolism ( sce00500 )
r_0006	"1,6-beta-glucan synthase"	UDP-D-glucose[c] => (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c]	YGR143W or YPR159W	starch and sucrose metabolism ( sce00500 )
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide[c] => 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c]	YIL020C	histidine metabolism ( sce00340 )
r_0012	1-pyrroline-5-carboxylate dehydrogenase	1-pyrroline-5-carboxylate[m] + 2 H2O[m] + NAD[m] => H+[m] + L-glutamate[m] + NADH[m]	YHR037W	"alanine, aspartate and glutamate metabolism ( sce00250 )"
r_0013	"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction"	"5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + 3 H2O[c] => 4-methylthio-2-oxobutanoate[c] + formate[c] + 6 H+[c] + phosphate[c]"	YEL038W and YMR009W	cysteine and methionine metabolism ( sce00270 )
r_0014	"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase"	"2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + H+[c] + H2O[c] => 5-amino-6-(5-phosphoribitylamino)uracil[c] + ammonium[c]"	YOL066C	riboflavin metabolism ( sce00740 )
r_0015	"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)"	"2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c] => 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c]"	YBR153W	riboflavin metabolism ( sce00740 )
r_0016	2-aceto-2-hydroxybutanoate synthase	2-oxobutanoate[m] + H+[m] + pyruvate[m] => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m]	(YCL009C and YMR108W) or YMR108W	"valine, leucine and isoleucine metabolism"
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + ATP[m] => (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m] + AMP[m] + H+[m]"	YNL256W	folate biosynthesis ( sce00790 )
r_0018	2-aminoadipate transaminase	2-oxoadipic acid[c] + L-glutamate[c] <=> 2-oxoglutarate[c] + L-2-aminoadipate[c]	YER152C or YGL202W or YJL060W	lysine metabolism
r_0019	2-dehydropantoate 2-reductase	2-dehydropantoate[c] + H+[c] + NADPH[c] => (R)-pantoate[c] + NADP(+)[c]	YHR063C	pantothenate and coa biosynthesis ( sce00770 )
