IDs,"metNames",chebi,kegg,mean,max,min,concs
YMDB00002,"L-Glutamine",CHEBI:18050,C00064,11546.6666666667,19111,2000,17140 +/- 1971 uM; 2500 +/- 500 uM; 15000 +/- 0 uM
YMDB00008,"Trehalose",CHEBI:16551,C01083,24290,33812,14768,24290 +/- 9522 uM
YMDB00011,"D-Fructose 2,6-bisphosphate",CHEBI:28602,C00665,942.5,1900,359,1200 +/- 200 uM; 360 +/- 1 uM; 510 +/- 20 uM; 1700 +/- 200 uM
YMDB00016,"Glycine",CHEBI:15428,C00037,4904.08333333333,15000,493,3279 +/- 65 uM; 1093 +/- 22 uM; 2869 +/- 57 uM; 1366 +/- 27 uM; 3142 +/- 63 uM; 7241 +/- 145 uM; 3006 +/- 60 uM; 4782 +/- 96 uM; 1291 +/- 65 uM; 780 +/- 287 uM; 15000 +/- 0 uM; 15000 +/- 0 uM
YMDB00020,"Sodium",CHEBI:29101,C01330,1740,1977,1503,1740 +/- 237 uM; 1740 +/- 0 uM
YMDB00022,"Acetaldehyde",CHEBI:15343,C00084,9080,9080,9080,9080 +/- 0 uM
YMDB00023,"3&#39;,5&#39;-cyclic AMP",CHEBI:17489,C00575,1.35616666666667,6,0.025,0.04 +/- 0.0 uM; 0.0285 +/- 0.0035 uM; 4 +/- 2 uM
YMDB00035,"L-methionine (R)-S-oxide",CHEBI:49032,C15653,93,98,88,93 +/- 5 uM
YMDB00037,"Pyridoxine",CHEBI:16709,C00314,3,3,3,3 +/- 0 uM; 3 +/- 0 uM
YMDB00038,"L-Isoleucine",CHEBI:17191,C00407,1605.5,6300,153,938 +/- 19 uM; 156 +/- 3 uM; 235 +/- 5 uM; 156 +/- 3 uM; 626 +/- 12 uM; 4535 +/- 91 uM; 1173 +/- 23 uM; 6177 +/- 123 uM; 1359 +/- 68 uM; 700 +/- 67 uM
YMDB00056,"Acetic acid",CHEBI:15366,C00033,22137.5,35000,2000,25775 +/- 1289 uM; 18500 +/- 16500 uM
