rxnID	new_gpr	reference
r_4468	( YDR342C or YHR092C )	https://www.yeastgenome.org/locus/S000002750; https://www.yeastgenome.org/locus/S000001134
r_1735	YBL042C	https://www.yeastgenome.org/locus/S000000138
r_4493	YNL065W	https://www.yeastgenome.org/locus/S000005009
r_4387	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_4398	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_4408	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_4473	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_4429	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_4471	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_4402	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_2190	YNL065W	https://www.yeastgenome.org/locus/S000005009
r_1707	( YDR342C or YHR092C )	https://www.yeastgenome.org/locus/S000002750; https://www.yeastgenome.org/locus/S000001134
r_1717	( YDL245C or YEL069C or YJR158W or YNR072W )	https://www.yeastgenome.org/locus/S000002404; https://www.yeastgenome.org/locus/S000005355 https://www.yeastgenome.org/locus/S000003919 https://www.yeastgenome.org/locus/S000000795
r_2041	( YDR342C or YHR092C )	https://www.yeastgenome.org/locus/S000002750; https://www.yeastgenome.org/locus/S000001134
r_4395	( YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W )	https://www.yeastgenome.org/locus/S000002404
r_1719	YHR092C	https://www.yeastgenome.org/locus/S000001134
r_1149	YGL077C	https://www.yeastgenome.org/locus/S000003045
r_1795	YNL065W	https://www.yeastgenome.org/locus/S000005009
r_1990	YJL212C	https://www.yeastgenome.org/locus/S000003748
r_4404	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_4424	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_4437	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_4361	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_1816	YNL065W	https://www.yeastgenome.org/locus/S000005009
r_2191	YNL065W	https://www.yeastgenome.org/locus/S000005009
r_1877	( YDR342C or YHR092C )	https://www.yeastgenome.org/locus/S000002750; https://www.yeastgenome.org/locus/S000001134
r_4469	YKR039W	https://www.yeastgenome.org/locus/S000001747
r_1908	( YDL245C or YEL069C or YJR158W or YNR072W )	https://www.yeastgenome.org/locus/S000002404; https://www.yeastgenome.org/locus/S000005355 https://www.yeastgenome.org/locus/S000003919 https://www.yeastgenome.org/locus/S000000795
r_1910	( YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W )	https://www.yeastgenome.org/locus/S000002404
r_4448	( YJR152W or YKR093W )	https://www.yeastgenome.org/locus/S000003913; https://www.yeastgenome.org/locus/S000001801
r_4457	YDR093W	https://www.yeastgenome.org/locus/S000002500
r_2040	YOR306C	https://www.yeastgenome.org/locus/S000005833
r_2105	( YDL245C or YLL043W )	https://www.yeastgenome.org/locus/S000002404; https://www.yeastgenome.org/locus/S000005355 https://www.yeastgenome.org/locus/S000003919 https://www.yeastgenome.org/locus/S000000795; https://www.yeastgenome.org/locus/S000003966
r_1882	YOR100C	https://www.yeastgenome.org/locus/S000005626
r_3607	YCR098C	https://www.yeastgenome.org/locus/S000000695
r_1574	YKL120W	https://www.yeastgenome.org/locus/S000001603
r_1642	YPR011C	https://www.yeastgenome.org/locus/S000006215
r_1684	( YGL077C or YOR161C )	https://www.yeastgenome.org/locus/S000003045; https://www.yeastgenome.org/locus/S000005687
r_3959	YBR192W	https://www.yeastgenome.org/locus/S000000396
r_3680	YHR002W	https://www.yeastgenome.org/locus/S000001044
r_3960	YBR192W	https://www.yeastgenome.org/locus/S000000396
r_1803	YGL225W	https://www.yeastgenome.org/locus/S000003193
r_2094	( YLL052C or YPR192W )	https://www.yeastgenome.org/locus/S000003975; https://www.yeastgenome.org/locus/S000006396
r_3526	( YLL052C or YPR192W )	https://www.yeastgenome.org/locus/S000003975; https://www.yeastgenome.org/locus/S000006396
r_3604	( YLL052C or YLL053C or YPR192W )	https://www.yeastgenome.org/locus/S000003975; https://www.yeastgenome.org/locus/S000003976 https://www.yeastgenome.org/locus/S000006396
r_1179	( YJL133W or YKR052C )	https://www.yeastgenome.org/locus/S000003669; https://www.yeastgenome.org/locus/S000001760
r_1657	YBR147W	https://www.yeastgenome.org/locus/S000000351
r_1658	YDR508C	https://www.yeastgenome.org/locus/S000002916
r_1811	YPR058W	https://www.yeastgenome.org/locus/S000006262
r_1837	YBR147W	https://www.yeastgenome.org/locus/S000000351
r_1919	YBR147W	https://www.yeastgenome.org/locus/S000000351
r_1935	YDR508C	https://www.yeastgenome.org/locus/S000002916
r_1907	YKR039W	https://www.yeastgenome.org/locus/S000001747
r_2045	YDR508C	https://www.yeastgenome.org/locus/S000002916
r_3545	YKR039W	https://www.yeastgenome.org/locus/S000001747
r_2072	YDR508C	https://www.yeastgenome.org/locus/S000002916
r_1771	( YKL188C and YPL147W )	https://www.yeastgenome.org/locus/S000001671; https://www.yeastgenome.org/locus/S000006068
r_1772	( YKL188C and YPL147W )	https://www.yeastgenome.org/locus/S000001671; https://www.yeastgenome.org/locus/S000006068
r_1976	YOR100C	https://www.yeastgenome.org/locus/S000005626
r_2231	( YKL188C and YPL147W )	https://www.yeastgenome.org/locus/S000001671; https://www.yeastgenome.org/locus/S000006068
r_1774	( YKL188C and YPL147W )	https://www.yeastgenome.org/locus/S000001671; https://www.yeastgenome.org/locus/S000006068
r_3961	( YER053C or YJR077C or YLR348C )	https://www.yeastgenome.org/locus/S000000855; https://www.yeastgenome.org/locus/S000004340 https://www.yeastgenome.org/locus/S000003838
r_2008	YNR013C	https://www.yeastgenome.org/locus/S000005296
r_3605	( YCR037C or YJL198W or YML123C )	https://www.yeastgenome.org/locus/S000005296; https://www.yeastgenome.org/locus/S000004592 https://www.yeastgenome.org/locus/S000003734
r_3649	YNR013C	https://www.yeastgenome.org/locus/S000005296
r_3893	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3813	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3897	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3817	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3894	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3814	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3898	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3818	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3895	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3815	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3899	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3819	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3896	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3816	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3900	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3820	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3821	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3885	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3825	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3889	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3822	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3886	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3826	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3890	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3823	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3887	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3827	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3891	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3824	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3888	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3828	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3892	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3606	YCR098C	https://www.yeastgenome.org/locus/S000000695
r_1236	( YKL188C and YPL147W )	https://www.yeastgenome.org/locus/S000001671; https://www.yeastgenome.org/locus/S000006068
r_2107	( YIL013C or YOR011W )	https://www.yeastgenome.org/locus/S000001275; https://www.yeastgenome.org/locus/S000005537
r_1108	 ( YER056C or YER060W or YER060W-A )	https://www.yeastgenome.org/locus/S000000858; https://www.yeastgenome.org/locus/S000002958 https://www.yeastgenome.org/locus/S000000862
r_1134	( YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W  or YHR096C or YJL214W or YJL219W or YJR158W  or YNR072W or YOL156W )	https://www.yeastgenome.org/locus/S000002404
r_1135	( YFL011W or YJL219W or YLR081W or YNL318C or YOL156W )	https://www.yeastgenome.org/locus/S000001883
r_1139	( YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W  or YHR096C or YJL214W or YJL219W or YJR158W or YNR072W or YOL156W )	https://www.yeastgenome.org/locus/S000002404
r_1183	( YCL025C or YKR039W or YOR348C or YPL265W )	https://www.yeastgenome.org/locus/S000000530
