rxnID_yeast_model	genes_yeast_model	final_GPR
r_0005	YGR032W or YMR306W or (YLR342W and YCR034W) 	(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W)
r_0021	YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C	YDR204W and  YGR255C and YLR201C and YML110C and YOL096C and YOR125C
r_0022	YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C	YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
r_0263	(YHL003C and YMR298W) or (YKL008C and YMR298W) 	YKL008C and YHL003C and YMR298W
r_0264	(YHL003C and YMR298W) or (YKL008C and YMR298W) 	YKL008C and YHL003C and YMR298W
r_0265	(YHL003C and YMR298W) or (YKL008C and YMR298W) 	YKL008C and YHL003C and YMR298W
r_0266	(YHL003C and YMR298W) or (YKL008C and YMR298W) 	YKL008C and YHL003C and YMR298W
r_0532	YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C	YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
r_0831	YDR148C and YFL018C and YIL125W	(YDR148C and YFL018C and YIL125W and YFR049W) or (YDR148C and YFL018C and YIL125W)
r_0832	YDR148C and YFL018C and YIL125W	(YDR148C and YFL018C and YIL125W and YFR049W) or (YDR148C and YFL018C and YIL125W)
r_0852	YDR148C and YFL018C and YIL125W	(YFL022C and YLR060W)
r_0906	(YKL088W and YKR072C and YOR054C) or (YKL088W and YKR072C) or (YKL088W and YOR054C) or YKL088W	YKL088W and YKR072C and YOR054C
r_0943	YDR400W and YLR017W and YLR209C	YLR209C
r_0963	YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C	YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR126C
r_0985	YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C	YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR126C
r_0992	(YDL040C and YGR147C and YHR013C) or (YDL040C and YGR147C)	YHR013C and YDL040C and YOR253W
r_0993	(YBR058C-A and YDR062W and YMR296C) or (YDR062W and YMR296C)	YMR296C and YKL212W and YDR062W and YGR038W and YLR350W and YBR058C-A
