ID	metabolism	KEGG pathways
r_0001	Pyruvate metabolism	sce00620
r_0002	Pyruvate metabolism	sce00620
r_0003	Butanoate metabolism	sce00650
r_0004	Pyruvate metabolism	sce00620
r_0005	Starch and sucrose metabolism	sce00500
r_0006	Starch and sucrose metabolism	sce00500
r_0007	Histidine metabolism	sce00340
r_0012	Alanine, aspartate and glutamate metabolism	sce00250
r_0013	Cysteine and methionine metabolism	sce00270
r_0014	Riboflavin metabolism	sce00740
r_0015	Riboflavin metabolism	sce00740
r_0016	Valine, leucine and isoleucine metabolism	
r_0017	Folate biosynthesis	sce00790
r_0018	Lysine metabolism	
r_0019	Pantothenate and coa biosynthesis	sce00770
r_0020	Phenylalanine, tyrosine and tryptophan biosynthesis	sce00400
r_0021	Ubiquinone and other terpenoid-quinone biosynthesis	sce00130
r_0022	Ubiquinone and other terpenoid-quinone biosynthesis	sce00130
r_0023	Valine, leucine and isoleucine metabolism	
r_0024	Valine, leucine and isoleucine metabolism	
r_0025	Valine, leucine and isoleucine metabolism	
r_0026	Cysteine and methionine metabolism	sce00270
r_0027	Lysine metabolism	
r_0028	Propanoate metabolism	sce00640
r_0029	Valine, leucine and isoleucine metabolism	
r_0030	Valine, leucine and isoleucine metabolism	
r_0032	Sulfur metabolism	sce00920
r_0033	Purine metabolism	sce00230
r_0034	Purine metabolism	sce00230
r_0035	Purine metabolism	sce00230
r_0036	Purine metabolism	sce00230
r_0037	Purine metabolism	sce00230
r_0038	Riboflavin metabolism	sce00740
r_0039	Phenylalanine, tyrosine and tryptophan biosynthesis	sce00400
r_0040	Phenylalanine, tyrosine and tryptophan biosynthesis	sce00400
r_0041	Sphingolipid metabolism	sce00600
r_0042	Phenylalanine, tyrosine and tryptophan biosynthesis	sce00400
r_0043	Ubiquinone and other terpenoid-quinone biosynthesis	sce00130
r_0044	Ubiquinone and other terpenoid-quinone biosynthesis	sce00130
r_0045	Tryptophan metabolism	sce00380
r_0057	Fatty acid degradation	sce00071
r_0058	Tryptophan metabolism	sce00380
r_0059	Complex alcohol metabolism	
r_0060	Valine, leucine and isoleucine metabolism	
r_0061	Valine, leucine and isoleucine metabolism	
r_0062	Complex alcohol metabolism	
r_0063	Pantothenate and coa biosynthesis	sce00770
r_0064	Complex alcohol metabolism	
r_0065	Phenylalanine, tyrosine and tryptophan biosynthesis	sce00400
r_0066	Folate biosynthesis	sce00790
r_0067	Folate biosynthesis	sce00790
r_0068	Alanine, aspartate and glutamate metabolism	sce00250
r_0069	Vitamin b6 metabolism	sce00750
r_0070	Ubiquinone and other terpenoid-quinone biosynthesis	sce00130
r_0072	Complex alcohol metabolism	
r_0073	Inositol phosphate metabolism	sce00562
r_0074	Phosphatidylinositol signaling system	sce04070
r_0075	Cysteine and methionine metabolism	sce00270
r_0076	Nicotinate and nicotinamide metabolism	sce00760
r_0077	Purine metabolism	sce00230
r_0078	Nicotinate and nicotinamide metabolism	sce00760
r_0079	Purine metabolism	sce00230
r_0080	One carbon pool by folate	sce00670
r_0081	Porphyrin and chlorophyll metabolism	sce00860
r_0082	Inositol phosphate metabolism	sce00562
r_0083	Phosphatidylinositol signaling system	sce04070
r_0084	One carbon pool by folate	sce00670
r_0085	Cysteine and methionine metabolism	sce00270
r_0086	Cysteine and methionine metabolism	sce00270
r_0087	Cysteine and methionine metabolism	sce00270
r_0088	Inositol phosphate metabolism	sce00562
r_0089	Inositol phosphate metabolism	sce00562
r_0090	Fructose and mannose metabolism	sce00051
r_0091	Pentose phosphate pathway	sce00030
r_0092	Inositol phosphate metabolism	sce00562
r_0093	Phosphatidylinositol signaling system	sce04070
r_0094	Biotin metabolism	sce00780
r_0095	Butanoate metabolism	
r_0096	Valine, leucine and isoleucine metabolism	
r_0097	Valine, leucine and isoleucine metabolism	
r_0099	Fatty acid biosynthesis	sce00061
r_0100	Fatty acid degradation	sce00071
r_0101	Fatty acid degradation	sce00071
r_0102	Fatty acid degradation	sce00071
r_0103	Fatty acid degradation	sce00071
r_0104	Fatty acid degradation	sce00071
r_0105	Fatty acid degradation	sce00071
r_0106	Fatty acid degradation	sce00071
r_0107	Fatty acid degradation	sce00071
r_0108	Fatty acid biosynthesis	sce00061
r_0109	Fatty acid biosynthesis	sce00061
r_0111	Pyruvate metabolism	sce00620
r_0112	Pyruvate metabolism	sce00620
r_0113	Pyruvate metabolism	sce00620
r_0114	Pyruvate metabolism	sce00620
r_0115	Arginine biosynthesis	sce00220
r_0116	Riboflavin metabolism	sce00740
r_0117	Propanoate metabolism	sce00640
r_0118	Arginine biosynthesis	sce00220
r_0119	Pantothenate and coa biosynthesis	sce00770
r_0120	Fatty acid degradation	sce00071
r_0121	Fatty acid degradation	sce00071
r_0122	Fatty acid degradation	sce00071
