s_0003	(1->3)-beta-D-glucan
s_0022	(R)-carnitine
s_0026	(R)-lactate
s_0029	(R)-mevalonate
s_0032	(R)-pantothenate
s_0036	(R,R)-2,3-butanediol
s_0058	(S)-3-methyl-2-oxopentanoate
s_0064	(S)-lactate
s_0067	(S)-malate
s_0080	1-(sn-glycero-3-phospho)-1D-myo-inositol
s_0084	1-acylglycerophosphocholine
s_0133	2'-deoxyadenosine
s_0135	2'-deoxyguanosine
s_0137	2'-deoxyinosine
s_0139	2'-deoxyuridine
s_0163	2-isopropylmalate
s_0167	2-methylbutanal
s_0170	2-methylbutanol
s_0173	2-methylbutyl acetate
s_0181	2-oxoglutarate
s_0186	2-phenylethanol
s_0235	3-methylbutanal
s_0272	4-aminobenzoate
s_0316	5-aminolevulinate
s_0320	5-formyltetrahydrofolic acid
s_0342	7,8-diaminononanoate
s_0354	8-amino-7-oxononanoate
s_0358	9H-xanthine
s_0360	acetaldehyde
s_0364	acetate
s_0384	adenine
s_0391	adenosine 3',5'-bismonophosphate
s_0387	adenosine
s_0406	allantoate
s_0408	allantoin
s_1521	trehalose
s_0413	alpha-D-glucosamine 6-phosphate
s_0420	ammonium
s_0446	bicarbonate
s_0452	biotin
s_0458	carbon dioxide
s_0513	choline
s_0523	citrate
s_0544	cytidine
s_0546	cytosine
s_0549	D-arabinose
s_0554	D-fructose
s_0559	D-galactose
s_0560	D-galacturonate
s_0562	D-glucitol
s_0565	D-glucose
s_0572	D-mannose
s_0576	D-ribose
s_0579	D-xylose
s_0597	decanoate
s_0611	deoxycytidine
s_0651	dTTP
s_0659	episterol
s_0668	ergosterol
s_0681	ethanol
s_0684	ethanolamine
s_0686	ethyl acetate
s_0702	fecosterol
s_0715	FMN
s_0720	folate
s_0723	formate
s_0726	fumarate
s_0736	gamma-aminobutyrate
s_0755	glutathione disulfide
s_0751	glutathione
s_0766	glycerol
s_1004	L-glycine
s_0776	glycolaldehyde
s_0780	glyoxylate
s_0788	guanine
s_0791	guanosine
s_0796	H+
s_0826	hexadecanal
